"","E0","sim_start","int_start1","int_length2","sd_m1","sd_m2","int_start2","int_length1","beta0est","paramset","iso_start","log_lik","R0_base","R0_int"
"366",9,2020-02-20,2020-03-08,85,0.77724609375,0.138134765625,2020-03-17,9,1.43877637467231,366,2020-06-10,-25.0892476600262,4.49617617085096,0.621078241569207
"367",7,2020-01-31,2020-03-06,100,0.85224609375,0.200634765625,2020-03-17,11,0.841265357223089,367,2020-06-25,-26.9337805015048,2.62895424132215,0.52745961804652
"368",4,2020-02-13,2020-03-01,70,0.70224609375,0.075634765625,2020-03-17,16,1.40625372276151,368,2020-05-26,-26.555726828371,4.39454288362972,0.332380221032346
"369",4,2020-02-01,2020-03-05,65,0.65537109375,0.130322265625,2020-03-17,12,0.998991751780238,369,2020-05-21,-27.797224248056,3.12184922431324,0.406846463852151
"370",7,2020-02-14,2020-03-09,95,0.80537109375,0.255322265625,2020-03-17,8,1.12374728620323,370,2020-06-20,-25.0597948870384,3.5117102693851,0.896617822197984
"371",9,2020-02-08,2020-03-07,80,0.88037109375,0.067822265625,2020-03-17,10,0.912388603602734,371,2020-06-05,-27.21789979612,2.85121438625854,0.193375819458648
"372",5,2020-02-21,2020-03-03,110,0.73037109375,0.192822265625,2020-03-17,14,1.72470159872693,372,2020-07-05,-24.4858478006822,5.38969249602165,1.03925271810496
"373",6,2020-02-11,2020-03-08,72,0.84287109375,0.224072265625,2020-03-17,9,1.05198205293992,373,2020-05-28,-25.697212097388,3.28744391543724,0.736625006247143
"374",10,2020-02-24,2020-03-04,102,0.69287109375,0.099072265625,2020-03-17,13,1.90158222185322,374,2020-06-27,-25.0224164861611,5.9424444432913,0.588731434347561
"375",8,2020-02-04,2020-03-01,87,0.61787109375,0.286572265625,2020-03-17,16,0.964306735079773,375,2020-06-12,-26.3262654421618,3.01345854712429,0.863573643216428
"376",4,2020-02-18,2020-03-06,117,0.76787109375,0.161572265625,2020-03-17,11,1.52813006523266,376,2020-07-12,-25.1380919826273,4.77540645385206,0.771573240029124
"377",4,2020-02-06,2020-03-03,99,0.82412109375,0.145947265625,2020-03-17,14,1.05937352565288,377,2020-06-24,-26.7869263021653,3.31054226766526,0.483164591701732
"378",7,2020-02-19,2020-03-08,69,0.67412109375,0.270947265625,2020-03-17,9,1.34385764341532,378,2020-05-25,-24.2713804914094,4.19955513567287,1.13785798085199
"379",9,2020-01-30,2020-03-10,114,0.74912109375,0.083447265625,2020-03-17,7,0.798790835819373,379,2020-07-09,-28.2897499804416,2.49622136193554,0.208302847048234
"380",6,2020-02-13,2020-03-05,84,0.89912109375,0.208447265625,2020-03-17,12,1.09811775118752,380,2020-06-09,-25.5522788307273,3.43161797246101,0.715311383029105
"381",5,2020-02-02,2020-03-06,91,0.71162109375,0.177197265625,2020-03-17,11,0.960154561571888,381,2020-06-16,-27.348586824281,3.00048300491215,0.531677384024716
"382",8,2020-02-16,2020-03-02,61,0.86162109375,0.052197265625,2020-03-17,15,1.24860477564584,382,2020-05-17,-26.5198441396302,3.90188992389325,0.203667984796967
